gloss,length,source,attachment_id,user_id
УЖЕ НЕОБХОДИМЫЙ ЛОГИЧНЫЙ ЛЮДИ ПОЛОЖИТЕЛЬНЫЙ ЖЁСТКИЙ ВОСЕМЬДЕСЯТ ОБЪЯТИЕ КРЕСТ,9,slovo_dictionary,synth_0,synthetic
ПОЛЗАНЬЕ ОДИННАДЦАТЫЙ ВЕСЕЛЫЙ,3,slovo_dictionary,synth_1,synthetic
ВЕРНЫЙ ТРУСЛИВО НЕУДОБСТВО ПОСЛЕДНИЙ ВЗЯТЬ ПЛАТА ЗА ВХОД,6,slovo_dictionary,synth_2,synthetic
КУСОК ПЕРО НАГЛОСТЬ НОЧЬ ЧЕРНЫЙ ЧЕМОДАН Ф,7,slovo_dictionary,synth_3,synthetic
МАЛЬЧИК ОСОБЕННЫЙ ТЕРПЕТЬ СУББОТА ВАЖНЫЙ ТОРЖЕСТВЕННЫЙ ПЕТУХ РАНЕЕ МЕЖДУ,9,slovo_dictionary,synth_4,synthetic
ДИЕТА ВРЕМЯ ИСПУГАННЫЙ КОРОНА МОТИВАЦИЯ,5,slovo_dictionary,synth_5,synthetic
К ЛЕБЕДЬ ДЯТЕЛ НЕРВНЫЙ АЛЛЕРГИЯ НА ЕДУ ВЕЩЬ КЛЮВ ВЕСЕЛЫЙ 6 ЧАСОВ,9,slovo_dictionary,synth_6,synthetic
ВОЗБУЖДЕНИЕ ЗАВАРОЧНЫЙ ЧАЙНИК ЗМЕЯ РАНЕЕ РВЕНОСТЬ ВДОХНОВЕНИЕ НАПУГАННЫЙ ЧЕТЫРЕ,8,slovo_dictionary,synth_7,synthetic
ГРУСТНЫЙ ЗАПАД ЦЕМЕНТ ВКУСНЫЙ ВРЕДНЫЙ; ОЗОРНОЙ ЗАТЕМ; ПОТОМ,6,slovo_dictionary,synth_8,synthetic
БАНКЕТ ТРУСЛИВО ОТКРЫТЬ ОБЕСПОКОЕННЫЙ ВВЕРХ ВЫ ПОЧЕМУ НАЧАЛО ТВОЙ,9,slovo_dictionary,synth_9,synthetic
ПРАВЫЙ ИЛИ ДВЕ НЕДЕЛИ НЕВИНОВНЫЙ,4,slovo_dictionary,synth_10,synthetic
ОЛЕНЬ Г ВЫ ЖЁЛТЫЙ ОТТЕНОК,5,slovo_dictionary,synth_11,synthetic
КРАТКИЙ СОБИРАТЬ ОСОБЕННО СТАРЫЙ ПОЗДНИЙ ЕЖЕДНЕВНЫЙ СЛЫШАТЬ СВЕРХУ,8,slovo_dictionary,synth_12,synthetic
ЗЕЛЁНЫЙ ПЯТЬ ПОДЛИННЫЙ АРОМАТНЫЙ МОТИВИРОВАТЬ ПОВАР ТЁМНЫЙ БЕЗУМНО,8,slovo_dictionary,synth_13,synthetic
